entity
China Communications Construction Company Limited
China Telecom Corporation Limited
Shuguang Program
Academy of Military Sciences
陆军军医大学
CPPU
中国人民解放军海军潜艇学院
"Inspur Group Co., Ltd."
"BRI Educational, Culture, and Health Intellect Recruitment Program"
Chief Foreign Experts Plan
军陆军研究院
中国电子产业集团
National University of Defense Technology
Hundred Talents Program
Thousand Talents Program — Innovative Talents Plan (Long-Term)
Southwest Institute of Electronic Engineering
TJU
USTB
中国航天
Beijing University
火箭军装备研究院
Training Plan of the Intellect Recruitment Program for Higher Education Curricula Innovation
Beijing Institute of Automatic Control Equipment
CASIC Second Academy
CEC
Nanhang University
中国人民武装警察部队警官学院
沈阳航空航天大学
"The Institute of Applied Physics and Computation Mathematics, Beijing"
Aviation University of Air Force
5th Academy of CASC
中国南方工业集团公司
中国人民解放军海军装备研究院
Peking University
University of Electronic Science and Technology
"SMIC Northern Integrated Circuit Manufacturing (Beijing) Co., Ltd"
中国人民解放军军事科学院
"Academy of Military Medical Sciences, Institute of Basic Medicine"
360 Security Technology Inc.
CSSC
Third Military Medical University
China Jiuyuan Trading Corporation
中国工程物理研究院
DLMU
江苏科技大学
SDU
"Academy of Military Medical Sciences, Institute of Microbiology and Epidemiology"
IHEP
Research Institute “Gidpropridor”
中国人民解放军空军后勤学院
中国商飞
国家安全部行政学院
People’s Public Security University of China
Tsinghua University
湘潭大学
Zhejiang University
International Training Program for Artificial Intelligence Talents in Chinese Universities: AI Training Camp
29th Testing and Training Base
"China Haiying Electromechanical Technology Academy (a.k.a., China Haiying Science & Technology Corporation)"
中国人民解放军海军航空大学
中国人民解放军海军军医大学
Shenyang Ligong University
People's Armed Police Special Police Academy
XJTU
YSU
FTIAN IM K.A. Valiev RAS
Pearl River Talent Program
"China United Network Communications Group Co., Ltd."
中国人民解放军陆军炮兵防空兵学院
中国人民解放军军事科学院空气动力试验基地
33 Institute of CASIC’s Third Academy
HEU
国家数字交换系统工程技术研究中心
PLA Rocket Force Academy
Federal State Budgetary Institution of Science Institute of Solid-State Physics N.A. Yu. A. Osipyanof the Russian Academy of Sciences
"Zhejiang Dahna Technology Co., Ltd."
Hikvision
AVIC
Planning Department No 1 of the China Aerospace Science and Technology Corporation’s First Academy (CALT)
China Aerospace Science and Technology Corporation
China State Shipbuilding Corporation
南京航空航天大学
NPU
Xidian University
902 Institute
Beijing Aerospace Automatic Control Institute
Norinco
China South Industries Group
武警警官学院
SJTU
中国人民解放军第三军医大学
郑州测绘学院
NUDT
国际关系学院
Institute of Microbial Epidemiology
空军哈尔滨飞行学院
Army Military Transportation Academy
Beijing Spaceflight Autocontrol Research Institute
Nanjing Information Technology Academe
Northwestern Polytechnical University
SMIC Holdings Limited
Air Force Logistics University
Army Engineering University of the PLA
公安海警学院
海工大
南京841研究所
Ministry of Public Security Railway Police College
Pervichnaya Profsoyuznaya Organizatsiya Rossiskogo Profsoyuza Rabotnkov Promyshlennosti V
Project 5-100
Semiconductor Manufacturing International Corporation
Semiconductor Manufacturing International (Tianjin) Corporation
中核集团
Southwest Institute of Chemical Materials
Hunan University of Science and Technology
NUE
Air Force Communication NCO Academy
中国人民解放军陆军航空兵学院
PLA University of Science and Technology
空军航空大学
Southwest Computing Center
北京计算科学研究中心
中国人民解放军海军指挥学院
中国人民解放军海军工程大学
"Rzhanov Insitute of Semiconductor Physics, Siberian Branch of Russian Academy of Sciences"
CRRC Corporation Limited
"Dawning Information Industry Co., Ltd"
陆军装甲兵学院
中国人民解放军陆军军事交通学院
East China University of Technology
Naval Academy
东南大学
University of Science and Technology Beijing
"Jiangxi Hongdu Aviation Industry Co., Ltd."
中国人民解放军空军预警学院
China Academy of Space Technology (CAST)
CNGC
中船集团
Chinese Academy of Engineering Physics
陆军防化学院
海军装备论证研究中心
成都电子科技大学
CGN
China Haiying Electronic Mechanical Technical Research Academy
CETGC
"Sichuan Dingcheng Material Trade Co., Ltd."
中国人民解放军第二军医大
Semiconductor Manufacturing International (Beijing) Corporation
ITMO University Fellowship & Professorship Program --- Micro Fellowship (a short-term research appointment)
CETC
Logistics University of the People’s Armed Police Force
111 plan
Homeland-Serving Action Plan for Patriotic Overseas Chinese
Beijing Electronic Science and Technology Institute
China Chang Feng Mechanics and Electronics Technology Academy
Nanjing Army Command College
Rocket Force Engineering University
MNIRTI JSC
北京理工大学
CASIC
Norinco Group
"Huawei Technologies Co., Ltd."
Chunhui Program
CIPUC
南华大学
"AVIC Jonhon Optronic Technology Co., Ltd."
Thousand Talents Program — Overseas High-Level Experts
第29试验训练基地
China North Industries Group
Criminal Investigation Police University of China
东华理工大学
Nanjing Research Institute of Information Technology
North China Institute of Aerospace Engineering
北京航空航天大学
Southwest Institute of Materials
PLA Nanjing Army Command College
Northwest Nuclear Technology Institute
Aero Engine Corporation of China
State Key Laboratory of Mathematical Engineering and Advanced Computing
China National Chemical Engineering Group Corporation
China Communications Construction Group (Limited)
Huang Jiaqing Youth Talent Program
Harbin Engineering University
Institute of NBC Defense
中国人民武装警察部队士官学校
Rocket Force NCO College
Beijing Kownsec
Air Force Harbin Flight Academy
BUAA
CSU
华中科技大学
Nanchang Aviation University
中国人民解放军战略支援部队航天工程大学
Beijing Computing Science Research Center
CNOOC Limited
China National Nuclear Corporation
"Academy of Military Medical Sciences, Institute of Toxicology and Pharmacology"
空军研究院
"12th Research Institute, China Aerospace Science and Technology Corporation (CALT)"

西安高技术研究所
A/SEU
"BGI Genomics Co., Ltd."
Chang Jiang Scholars Award Program (Chair Professor)
Thousand Talents Program — Entrepreneurs
Harbin Flight College of Air Force
空军军医大学
PLA Navy Command College
Xiangtan University
"China SpaceSat Co., Ltd."
Overseas Famous Teachers Plan
Beijing University of Aeronautics and Astronautics
北京电子科技学院
Beijing Hangxing Machine Building Corporation
北京应用物理与计算数学研究所
中国人民解放军火箭指挥学院
火箭军士官学校
西南科技大学
WHUT
PLA Air Force Aviation University
Jiangnan Institute of Social Studies
SYLU
Air Force Communications NCO Academy
空军雷达学院
陆军边海防学院
湖南科技大学
西安工业大学
"China State Construction Group Co. CloudWalk Technology Co., Ltd."
兵装集团
南京陆军指挥学院
FTIAN
CloudWalk
Recruitment Program for High-Level Overseas Cultural Talents River Talents Plan
Army Academy of Border and Coastal Defense
航空工业
China Maritime Police Academy
中国商用飞机有限责任公司
DLNU
Jiangnan Social University
PAP NCO College
Southwest Institute of Explosive and Chemical Engineering
Plan for Experts' Return and Settlement in China
中国人民解放军空军研究院
Hunan Guofang Keji University
Joint Stock Company Concern Sea Underwater Weapons Gidropribor
Beijing Power Machinery Institute of CASIC’s 31 Institute
Nanjing 841 Institute
中国人民解放军海军士官学校
PLA Rocket Force NCO College
ISSP
CRCC
Overseas Evaluation Expert Plan
"ITMO University Fellowship & Professorship Program --- three short-term tracks, lasting two weeks to one month"
"13th Institute, China Aerospace Science and Technology Corporation (CALT)"
中国兵器装备集团有限公司
中国人民武装警察部队后勤学院
中国武装警察部队特种警察学院
Jinshan Scholars Program
Shijiazhuang Flight College of Air Force
陆军步兵学院
Dalian Naval Academy
National Defense University
中国人民解放军海军装备论证研究中心
KAUST Gifted Student Program (KGSP) United Arab Emirates
Aviation University of PLA Air Force
中国电子
陆军炮兵防空兵学院
武警后勤学院
FTI RAS
Dialogue with Masters-Nobel Laureate Campus Travel Plan
High-End Foreign Experts Plan
In-Kingdom Retention Initiatives
Central South University
Second Academy of CASIC
PAP Engineering University
Institute of International Relations Suzhou Campus
The People’s Armed Police College China
Key Educational Intellect Recruitment Plan
National Defense Science and Technology Scholarship
Southwest Institute of Structural Mechanics
中国人民武装警察部队工程大学
"Academy of Military Medical Sciences, Institute of Radiation and Radiation Medicine"
AFEU
Army Special Operations College
警察大学
北京科技大学
China Ordnance Group Corporation
Hangzhou Dianzi University
Huazhong University of Science and Technology
HNUST
Naval Equipment Academy
MIPT
Spring Light
Air Force Engineering University
China Aerospace Science & Industry Corp
Dalian Nationalities University
Hangzhou Institute of Electrical Engineering
海军指挥学院
IPP SB RAS
"Tactical Missile Corporation, Joint Stock Company GosNIMash"
Design and Manufacture Center of Navigation and Control Device
Institute of Solid-State Physics of the Russian Academy of Sciences
"Beijing Zhidao Chuangyu Information Technology Co., Ltd."
"Costar Group Co., Ltd."
CUST
Academy of Military Science Aerodynamics Testing Base
南昌航空大学
Railway Police College
Global Tone Communication Technology Co Ltd
Chengdu Fine Optical Engineering Research Center
PPSUC
Sichuan University
SWUST
MFTI
Wuhan University
Central South CAD Center
Semiconductor Manufacturing South China Corporation
Key Economic and Technical Foreign Experts Plan
中国人民解放军空军通信士官学校
中国兵装
中国船舶工业集团有限公司
Hunan University
Rocket Force Sergeant School
第二炮兵工程大学
PAP Special Police Academy
CNOOC
"No. 31 Research Institute, Third Academy of CASIC"
中国航天科技集团
Navy Submarine Academy
Shanghai Jiao Tong University
四川大学
Chang Jiang Scholars Award Program (Distinguished Professor)
Beijing Institute of Space Automatic Control
NDU
"Academy of Military Medical Sciences, Institute of Hygiene and Environmental Medicine"
Ocean University of China
National Nuclear Power Foreign High-Level Talent Recruitment Program
Recruitment Plan of the Postdoctoral International Exchange Program
Army Academy of Armored Forces
China People’s Police University
Skyeye Laser Technology Limited
HDU
海军勤务学院
空军石家庄飞行学院
中国人民解放军外国语学院
Naval Engineering University
Navy Logistics Academy
Northwest Polytechnic University
Rocket Force Equipment Academy
Disease Control and Prevention Institute
"Shenzhen Dn Innovation Technology Co., Ltd."
China Aerospace Science and Industry Corporation Limited
National Science Fund for Distinguished Young Scholars
CSGC
武警士官学校
University of South China
西安电子科技大学
Key Laboratory of Complex Aviation System Simulation
陆军军事交通学院
PLA Dalian Naval Academy
哈尔滨工程大学
Shandong University
USC
"Huawei Inves1ment & Holding Co., Ltd."
International Training Program for Artificial Intelligence Talents in Chinese Universities: Expert Forum
"National Food Safety Risk Assessment Center ""532"" Talent Program"
中国人民解放军陆军研究院
并行与分布处理国家重点实验室
Yanshan University
Air Force Command College
Xi’an Flying College of PLA Air Force
武警指挥学院
火箭军研究院
Wuhan University of Technology
Army Academy of Artillery and Air Defense
陆军勤务学院
Southwest Institute of Nuclear Physics and Chemistry
Southwest Institute of Explosives and Chemical Engineering
Nanjing Institute of Information Technology
中国人民解放军海军蚌埠士官学校
海军工程大学
中国人民解放军海军勤务学院
NCIAE
NWPU
Engineering University of the CAPF
PLA Navy Equipment Academy
中国人民武装警察部队杭州士官学校
Young Talents Program of the Chinese Academy of Agricultural Sciences
空军指挥学院
Army Special Operations Academy
MPS China People's Police University
PLA Equipment Command and Technology Academy
Special Police of China
PPORosprofprom V “GOSNIMASH”
Air Force Equipment Academy
武警海警学院
Nanjing University of Aeronautics and Astronautics
Naval Command Academy
PLA Navy Bengbu Petty Officer Academy
SEU
AMS
中国航空发动机集团有限公司
Shijiazhuang Flying College of the PLA Air Force
CSIC
Southwest Institute of Fluid Physics
Southwest Institute of Applied Electronics
中国人民解放军信息工程大学
MPS Railway Police College
CSRC
Moscow Order of the Red Banner of Labor Research Radio Engineering Institute JSC
China National Offshore Oil Corporation
"SMIC Semiconductor Manufacturing (Shanghai) Co., Ltd"
Innovative Talent Promotion Program
火箭指挥学院
Institute of International Politics
"Academy of Military Medical Sciences, Institute of Disease Control and Prevention"
China Mobile Limited
Air Force Medical University
China Aerodynamics Research and Development Center
China Chang Feng Mechano-Electronic Engineering Company
China Electronics Corporation
Southwest Institute of Research and Applications of Special Materials Factory
Xi'an University of Electronic Science and Technology
CIECC
Army Aviation School
Army Infantry Academy
中国电子科技集团公司
中船重工
COMAC
People's Armed Police NCO College
The Chinese People’s Armed Police Forces Academy
RFUE
High-profile Qimam Fellowship scheme
Nanjing University of Science and Technology
National Major S&T Special Talent Recruitment Program
The Edge
BIT
Beijing University of Chemical Technology
Beijing Aerospace Control Instruments Institute
Aerospace Engineering University
BGI
Support Plan for Overseas Chinese Students Who Return to Start Businesses
Aviation Industry Corporation of China
Air Force Aviation University
中国人民解放军海军大连舰艇学院
NCHU
二炮兵装备研究院
Southwest University of Science and Technology
电子科技大学
Hundred Talents Plan
Dahna
Beijing University of Posts and Telecommunications
Huahang Institute of Radio Measurement
Changfeng Electromechanical Technology Design Institute
SAU
State Research Institute of Mechanical Engineering
GTCOM
中国人民解放军空军第二飞行学院
空军西安飞行学院
大连民族大学
中国人民解放军陆军防化学院
JUST
Hunan Guofang Kei University
哈尔滨工业大学
湖南大学
洛阳外语学院
Southeast University
Center for High Pressure Science and Technology Advanced Research
Kurchatovskiy Institute ITEF
Zhonghang Electronic Measuring Instruments Company Limited
CNNC
大连民大
IEU
Northwest Polytechnical University
SMF (Strategic Missile Force) Command College
上海交通大学
UESTC
Federal Research Center Boreskov Institute of Catalysis
China National Chemical Corporation Ltd.
AVIC Aviation High-Technology Company Limited
CCCC
Air Force Early Warning Academy
中国北方工业集团公司
Jilin University
Naval Research Academy
SYSU
"Academy of Military Medical Sciences, Institute of Health Service and Medical Information"
Hefei National Laboratory for Physical Sciences and the Microscale
Institute of High Energy Physics
SKB DNIKhTI
南昌陆院
Beijing Institute of Astronautic Systems Engineering
Southwest Institute of Machining Technology
Nanchang Hangkong University
Rocket Force Sergeancy School
清华大学
武汉大学
"Academy of Military Medical Sciences, Military Veterinary Research Institute"
"Hangzhou Hikvision Digital Technology Co., Ltd."
Semiconductor Manufacturing International (Shenzhen) Corporation
空指
China Chang Feng Mechano-Electronic Engineering Academy
China Coast Guard Academy
People’s Armed Police Command College
China International Engineering Consulting Corporation
中国人民解放军陆军特种作战学院
中国空气动力研究与发展中心
Institute of Cadre Management
Second Artillery Equipment Academy
燕山大学
Double Hundreds Program of the China Meteorological Administration
中国刑事警察学院
数学工程与先进计算国家重点实验室
Navy Command College
Naval Aeronautics and Astronautics University
NUC
"Academy of Military Medical Sciences, Institute of Bioengineering"
CNCEC
PAP China Coast Guard Academy
Luoyang Foreign Languages University
中北大学
Shenyang Aerospace University
Xi’an Jiaotong University
BCSRC
陆军特种作战学院
北京高压科学研究中心
Nanjing Information Technology Institute
Sugon
AVIC Shenyang Aircraft Company Limited
Thousand Talents Program — Young Talents
Fourth Military Medical University
陆军工程大学
China Aerospace Science and Industry Corporation
WHU
Qihoo 360
China Telecommunications Corporation
中国人民解放军国防科技大学
Rocket Force Sergeant School of the PLA
University of Electronic Science and Technology of China
UIR
SMIC
Beijing Institute of Technology
中国电子信息产业集团有限公司
武汉理工大学
Beijing High Voltage Research Center
Moscow Institute of Physics and Technology
AVIC Xi'an Aircraft Industry Group Company Ltd.
Nanjing Information Technology Research Institute
南京理工大学
North University of China
西北核技术研究所
Institute of Radiation and Radiation Medicine or Institute of Electromagnetic and Particle Radiation Medicine
AVIC Heavy Machinery Company Limited
"China Mobile Communications Group Co., Ltd."
China North Industries Group Corporation Limited
Air Force Military Medical University
Army Service Academy
CARDC
HUST
Luoyang Foreign Language Institute
Northwestern Polytechnic University
北大
山东大学
"Academy of Military Medical Sciences, Institute of Medical Equipment"
Funding Program for Overseas Students in S&T Activities
High-End Foreign Expert Recruitment Program
PLA Air Force Xi’an Flight Academy
航天科工
China Academy of Engineering Physics
901 Institute
国防大学
Naval Command College
PLA Navy Research Academy
Navy Aviation University
铁道警院
China South Industries Group Corporation
海军装备研究院
Institute of Northwest Nuclear Technology
PKU
Academy of Military Medical Sciences
